Element,Description,Categories,Parentsâ€ ,Children,Attributes,Interface
a,Hyperlink,flow; phrasing*;interactive,phrasing,transparent*,globals; href; target; download; rel; hreflang; type,HTMLAnchorElement
abbr,Abbreviation,flow; phrasing,phrasing,phrasing,globals,HTMLElement
address,Contact information for a page or articleelement,flow,flow,flow*,globals,HTMLElement
area,Hyperlink or dead area on an image map,flow; phrasing,phrasing*,empty,globals; alt; coords; shape; href; target; download; rel;hreflang; type,HTMLAreaElement
article,Self-contained syndicatable or reusable composition,flow; sectioning,flow,flow,globals,HTMLElement
aside,Sidebar for tangentially related content,flow; sectioning,flow,flow,globals,HTMLElement
audio,Audio player,flow; phrasing;embedded; interactive,phrasing,source*;transparent*,globals; src; crossorigin; preload; autoplay; mediagroup;loop; muted; controls,HTMLAudioElement
b,Keywords,flow; phrasing,phrasing,phrasing,globals,HTMLElement
base,Base URL and default targetbrowsing contextfor hyperlinksand forms,metadata,head;template,empty,globals; href; target,HTMLBaseElement
bdi,Text directionality isolation,flow; phrasing,phrasing,phrasing,globals,HTMLElement
bdo,Text directionality formatting,flow; phrasing,phrasing,phrasing,globals,HTMLElement
blockquote,A section quoted from another source,flow; sectioning root,flow,flow,globals; cite,HTMLQuoteElement
body,Document body,sectioning root,html,flow,globals; onafterprint; onbeforeprint; onbeforeunload;onhashchange; onmessage; onoffline; ononline; onpagehide;onpageshow; onpopstate; onstorage; onunload,HTMLBodyElement
br,"Line break, e.g. in poem or postal address",flow; phrasing,phrasing,empty,globals,HTMLBRElement
button,Button control,flow; phrasing;interactive; listed;labelable; submittable;reassociateable; form-associated,phrasing,phrasing*,globals; autofocus; disabled; form; formaction; formenctype;formmethod; formnovalidate; formtarget; name; type; value,HTMLButtonElement
canvas,Scriptable bitmap canvas,flow; phrasing;embedded,phrasing,transparent,globals; width; height,HTMLCanvasElement
caption,Table caption,none,table;template,flow*,globals,HTMLTableCaptionElement
cite,Title of a work,flow; phrasing,phrasing,phrasing,globals,HTMLElement
code,Computer code,flow; phrasing,phrasing,phrasing,globals,HTMLElement
col,Table column,none,colgroup;template,empty,globals; span,HTMLTableColElement
colgroup,Group of columns in a table,none,table;template,col*; script-supporting elements*,globals; span,HTMLTableColElement
data,Machine-readable equivalent,flow; phrasing,phrasing,phrasing,globals; value,HTMLDataElement
datalist,Container for options forcombo box control,flow; phrasing,phrasing,phrasing; option,globals,HTMLDataListElement
dd,Content for correspondingdt element(s),none,dl;template,flow,globals,HTMLElement
del,A removal from the document,flow; phrasing*,phrasing,transparent,globals; cite; datetime,HTMLModElement
dfn,Defining instance,flow; phrasing,phrasing,phrasing*,globals,HTMLElement
div,Generic flow container,flow,flow,flow,globals,HTMLDivElement
dl,Association list consisting of zero or more name-value groups,flow,flow,dt*; dd*; script-supporting elements,globals,HTMLDListElement
dt,Legend for correspondingdd element(s),none,dl;template,flow*,globals,HTMLElement
em,Stress emphasis,flow; phrasing,phrasing,phrasing,globals,HTMLElement
embed,Plugin,flow; phrasing;embedded; interactive,phrasing,empty,globals; src; type; width; height; any*,HTMLEmbedElement
fieldset,Group of form controls,flow; sectioning root;listed; reassociateable;form-associated,flow,legend*; flow,globals; disabled; form; name,HTMLFieldSetElement
figcaption,Caption forfigure,none,figure;template,flow,globals,HTMLElement
figure,Figure with optional caption,flow; sectioning root,flow,figcaption*; flow,globals,HTMLElement
footer,Footer for a page or section,flow,flow,flow*,globals,HTMLElement
form,User-submittable form,flow,flow,flow*,globals; accept-charset; action; autocomplete; enctype;method; name; novalidate; target,HTMLFormElement
"h1, h2, h3,h4, h5, h6",Section heading,flow; heading,flow,phrasing,globals,HTMLHeadingElement
head,Container for document metadata,none,html,metadata content*,globals,HTMLHeadElement
header,Introductory or navigational aids for a page or section,flow,flow,flow*,globals,HTMLElement
hr,Thematic break,flow,flow,empty,globals,HTMLHRElement
html,Root element,none,none*,head*; body*,globals; manifest,HTMLHtmlElement
i,Alternate voice,flow; phrasing,phrasing,phrasing,globals,HTMLElement
iframe,Nested browsing context,flow; phrasing;embedded; interactive,phrasing,text*,globals; src; srcdoc; name; sandbox; width; height,HTMLIFrameElement
img,Image,flow; phrasing;embedded; interactive*;form-associated,phrasing,empty,globals; alt; src; crossorigin; usemap; ismap; width; height,HTMLImageElement
input,Form control,flow; phrasing;interactive*; listed;labelable; submittable;resettable;reassociateable; form-associated,phrasing,empty,globals; accept; alt; autocomplete; autofocus; checked;dirname; disabled; form; formaction; formenctype;formmethod; formnovalidate; formtarget; height; list; max;maxlength; min; minlength; multiple; name; pattern;placeholder; readonly; required; size; src; step; type;value; width,HTMLInputElement
ins,An addition to the document,flow; phrasing*,phrasing,transparent,globals; cite; datetime,HTMLModElement
kbd,User input,flow; phrasing,phrasing,phrasing,globals,HTMLElement
keygen,Cryptographic key-pair generator form control,flow; phrasing;interactive; listed;labelable; submittable;resettable;reassociateable; form-associated,phrasing,empty,globals; autofocus; challenge; disabled; form; keytype; name,HTMLKeygenElement
label,Caption for a form control,flow; phrasing;interactive;reassociateable; form-associated,phrasing,phrasing*,globals; form; for,HTMLLabelElement
legend,Caption forfieldset,none,fieldset;template,phrasing,globals,HTMLLegendElement
li,List item,none,ol; ul;template,flow,globals; value*,HTMLLIElement
link,Link metadata,metadata; flow*;phrasing*,head;template;noscript*;phrasing*,empty,globals; href; crossorigin; rel; media; hreflang; type; sizes,HTMLLinkElement
main,Main content of a document,flow,flow,flow*,globals,HTMLElement
map,Image map,flow; phrasing*,phrasing,transparent; area*,globals; name,HTMLMapElement
mark,Highlight,flow; phrasing,phrasing,phrasing,globals,HTMLElement
meta,Text metadata,metadata; flow*;phrasing*,head;template;noscript*;phrasing*,empty,globals; name; http-equiv; content; charset,HTMLMetaElement
meter,Gauge,flow; phrasing;labelable,phrasing,phrasing*,globals; value; min; max; low; high; optimum,HTMLMeterElement
nav,Section with navigational links,flow; sectioning,flow,flow,globals,HTMLElement
noscript,Fallback content for script,metadata; flow;phrasing,head*;template*;phrasing*,varies*,globals,HTMLElement
object,"Image, nested browsing context, orplugin",flow; phrasing;embedded; interactive*;listed; submittable;reassociateable; form-associated,phrasing,param*;transparent,globals; data; type; typemustmatch; name; usemap; form;width; height,HTMLObjectElement
ol,Ordered list,flow,flow,li; script-supporting elements,globals; reversed; start; type,HTMLOListElement
optgroup,Group of options in a list box,none,select;template,option; script-supporting elements,globals; disabled; label,HTMLOptGroupElement
option,Option in a list box or combo box control,none,select;datalist;optgroup;template,text*,globals; disabled; label; selected; value,HTMLOptionElement
output,Calculated output value,flow; phrasing; listed;labelable; resettable;reassociateable; form-associated,phrasing,phrasing,globals; for; form; name,HTMLOutputElement
p,Paragraph,flow,flow,phrasing,globals,HTMLParagraphElement
param,Parameter forobject,none,object;template,empty,globals; name; value,HTMLParamElement
pre,Block of preformatted text,flow,flow,phrasing,globals,HTMLPreElement
progress,Progress bar,flow; phrasing;labelable,phrasing,phrasing*,globals; value; max,HTMLProgressElement
q,Quotation,flow; phrasing,phrasing,phrasing,globals; cite,HTMLQuoteElement
rb,Ruby base,none,ruby;template,phrasing,globals,HTMLElement
rp,Parenthesis for ruby annotation text,none,ruby;template,phrasing,globals,HTMLElement
rt,Ruby annotation text,none,ruby; rtc;template,phrasing,globals,HTMLElement
rtc,Ruby annotation text container,none,ruby;template,phrasing,globals,HTMLElement
ruby,Ruby annotation(s),flow; phrasing,phrasing,phrasing; rp; rt;rb; rtc*,globals,HTMLElement
s,Inaccurate text,flow; phrasing,phrasing,phrasing,globals,HTMLElement
samp,Computer output,flow; phrasing,phrasing,phrasing,globals,HTMLElement
script,Embedded script,metadata; flow;phrasing; script-supporting,head;phrasing;script-supporting,"script, data, or script documentation*",globals; src; type; charset; async; defer; crossorigin,HTMLScriptElement
section,Generic document or application section,flow; sectioning,flow,flow,globals,HTMLElement
select,List box control,flow; phrasing;interactive; listed;labelable; submittable;resettable;reassociateable; form-associated,phrasing,"option, optgroup",globals; autofocus; disabled; form; multiple; name;required; size,HTMLSelectElement
small,Side comment,flow; phrasing,phrasing,phrasing,globals,HTMLElement
source,Media source forvideo or audio,none,video;audio;template,empty,globals; src; type; media,HTMLSourceElement
span,Generic phrasing container,flow; phrasing,phrasing,phrasing,globals,HTMLSpanElement
strong,Importance,flow; phrasing,phrasing,phrasing,globals,HTMLElement
style,Embedded styling information,metadata; flow,head;noscript*;flow*,varies*,globals; media; type,HTMLStyleElement
sub,Subscript,flow; phrasing,phrasing,phrasing,globals,HTMLElement
sup,Superscript,flow; phrasing,phrasing,phrasing,globals,HTMLElement
table,Table,flow,flow,caption*;colgroup*; thead*;tbody*; tfoot*;tr*; script-supporting elements,globals; border,HTMLTableElement
tbody,Group of rows in a table,none,table;template,tr; script-supporting elements,globals,HTMLTableSectionElement
td,Table cell,sectioning root,tr;template,flow,globals; colspan; rowspan; headers,HTMLTableDataCellElement
template,Template,metadata; flow;phrasing; script-supporting,metadata;phrasing;script-supporting;colgroup*,it's complicated*,globals,HTMLTemplateElement
textarea,Multiline text field,flow; phrasing;interactive; listed;labelable; submittable;resettable;reassociateable; form-associated,phrasing,text,globals; autofocus; cols; dirname; disabled; form;maxlength; minlength; name; placeholder; readonly;required; rows; wrap,HTMLTextAreaElement
tfoot,Group of footer rows in a table,none,table;template,tr; script-supporting elements,globals,HTMLTableSectionElement
th,Table header cell,none,tr;template,flow*,globals; colspan; rowspan; headers; scope; abbr,HTMLTableHeaderCellElement
thead,Group of heading rows in a table,none,table;template,tr; script-supporting elements,globals,HTMLTableSectionElement
time,Machine-readable equivalent of date- or time-related data,flow; phrasing,phrasing,phrasing,globals; datetime,HTMLTimeElement
title,Document title,metadata,head;template,text*,globals,HTMLTitleElement
tr,Table row,none,table;thead;tbody;tfoot;template,th*; td; script-supporting elements,globals,HTMLTableRowElement
track,Timed text track,none,audio;video;template,empty,globals; default; kind; label; src; srclang,HTMLTrackElement
u,Keywords,flow; phrasing,phrasing,phrasing,globals,HTMLElement
ul,List,flow,flow,li; script-supporting elements,globals,HTMLUListElement
var,Variable,flow; phrasing,phrasing,phrasing,globals,HTMLElement
video,Video player,flow; phrasing;embedded; interactive,phrasing,source*;transparent*,globals; src; crossorigin; poster; preload; autoplay;mediagroup; loop; muted; controls; width; height,HTMLVideoElement
wbr,Line breaking opportunity,flow; phrasing,phrasing,empty,globals,HTMLElement